Ürün Adı,Fiyat,Link,Özellikler
Rimex,"324,37 TL",https://www.trendyol.com/rimex/kadin-n-sari-gunluk-rahat-spor-ayakkabi-rm0520-p-750853621?boutiqueId=61&merchantId=458155&advertItems=eyJhZHZlcnRJZCI6ImIyODk1MjYyLTQ0NWUtNDk1Zi1iNjQ3LTYyYTFiOWNlZjA1YSIsInNvcnRpbmdTY29yZSI6MC4wMjQ5Njc5OTE2MDU1OTMzMDcsImFkU2NvcmUiOjAuMDE4NzU1NTY0NDY2MTE4ODEzLCJhZFNjb3JlcyI6eyIxIjowLjAxODc1NTU2NDQ2NjExODgxMywiMiI6MC4wMTg3NTU1NjQ0NjYxMTg4MTN9LCJjcGMiOjEuMzMxMjMxMTQ3NDY1NDM2MSwibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjMzMTIzMTE0NzQ2NTQzNjEsImFkdmVydFNsb3QiOjQsIm9yZGVyIjoxNSwiYXR0cmlidXRlcyI6IiJ9,"{'Kullanım Alanı': 'Günlük', 'Renk': 'Turuncu', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)'}"

SOHO,"339,99 TL",https://www.trendyol.com/soho/beyaz-kadin-sneaker-15732-p-71255458?boutiqueId=619798&merchantId=968,"{'Bağlama Şekli': 'Bantlı', 'Materyal': 'Suni Deri', 'Dış Materyal': 'Süet', 'Renk': 'Beyaz', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Topuk Tipi': 'Düz Topuklu', 'Ortam': 'Casual/Günlük', 'Desen': 'Düz', 'Materyal Bileşeni': '100% Suni Deri'}"

Vans,1.904 TL,https://www.trendyol.com/vans/wm-ward-kadin-siyah-sneaker-p-31907009?boutiqueId=61&merchantId=107283,"{'Bağlama Şekli': 'Bağcıklı', 'Materyal': 'Tekstil', 'Dış Materyal': 'Tekstil', 'Taban Tipi': 'Düz Taban', 'Kullanım Alanı': 'Spor', 'Renk': 'Siyah', 'Persona': 'Cool & Comfort', 'Topuk Tipi': 'Düz Topuklu', 'Materyal Bileşeni': '%92 Pamuk, %8 Elastan'}"

İnan Ayakkabı,438 TL,https://www.trendyol.com/inan-ayakkabi/kadin-bot-siyah-taban-5-cm-p-124624819?boutiqueId=620097&merchantId=968,"{'Materyal': 'Suni Deri', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Topuk Tipi': 'Düz Topuklu', 'Bağlama Şekli': 'Bağcıklı', 'Renk': 'Siyah', 'Dış Materyal': 'Suni Deri'}"

Sicilia outdoors,"299,95 TL",https://www.trendyol.com/sicilia-outdoors/gri-kadin-fileli-sneaker-gunluk-ayakkabi-p-314608307?boutiqueId=61&merchantId=564522&advertItems=eyJhZHZlcnRJZCI6ImZmNWQ3NmY0LTA5ZWQtNDBkNi1hYzFjLWQ5NTAyNjcyMzRhZiIsInNvcnRpbmdTY29yZSI6MC4wMjQ3Mzk0OTc0NjAxNDI0MywiYWRTY29yZSI6MC4wMTk2MTk4NzY1MTg4NDU1NTgsImFkU2NvcmVzIjp7IjEiOjAuMDE5NjE5ODc2NTE4ODQ1NTU4LCIyIjowLjAxOTYxOTg3NjUxODg0NTU1OH0sImNwYyI6MS4yNjA5NDA1MjgxNjE4MDA3LCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuMDgwODg1NjM5MzUzNjU0MSwiYWR2ZXJ0U2xvdCI6NSwib3JkZXIiOjE5LCJhdHRyaWJ1dGVzIjoiIn0=,"{'Bağlama Şekli': 'Bağcıklı', 'Taban Teknolojisi': 'Termo Taban', 'Materyal': 'Tekstil', 'Dış Materyal': 'Tekstil', 'Kullanım Alanı': 'Outdoor', 'Taban Tipi': 'Düz Taban', 'Renk': 'Gri', 'Saya Materyali': 'Suni Deri', 'Astar Materyali': 'Tekstil', 'İç Taban Materyali': 'Tekstil', 'Taban Materyali': 'Termoplastik', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Ek Özellik': 'Ek Özellik Mevcut Değil', 'Topuk Tipi': 'Düz Topuklu', 'Ortam': 'Sportswear'}"

HUMMEL,"909,99 TL",https://www.trendyol.com/hummel/900238-9085-acne-unisex-gunluk-spor-ayakkabi-p-465110706?boutiqueId=61&merchantId=109687,"{'Kullanım Alanı': 'Günlük', 'Renk': 'Beyaz'}"

RİVOLİ,345 TL,https://www.trendyol.com/rivoli/006-yuksek-tabanli-spor-ayakkabi-p-653153602?boutiqueId=61&merchantId=826737,"{'Bağlama Şekli': 'Bağcıklı', 'Taban Teknolojisi': 'Poliüretan Taban', 'Materyal': 'Suni Deri', 'Dış Materyal': 'Suni Deri', 'Taban Tipi': 'Kalın Taban', 'Kullanım Alanı': 'Günlük', 'Renk': 'Siyah', 'Topuk Boyu': 'Orta Topuklu (5-9 cm)', 'Topuk Tipi': 'Kalın Topuklu', 'Desen': 'Düz'}"

FUNB,128 TL,https://www.trendyol.com/funb/105-kadin-sneaker-siyah-p-461985957?boutiqueId=61&merchantId=259626,"{'Renk': 'Siyah', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)'}"

ÜNAL ÖZER,790 TL,https://www.trendyol.com/unal-ozer/kadin-gunluk-bot-un001-006-taba-cilt-38-p-675003455?boutiqueId=61&merchantId=234167&advertItems=eyJhZHZlcnRJZCI6IjQ5NDA5MTM1LWJjMDAtNGU5Ny04OTdjLWI2OTZlNTQ2MjI2OSIsInNvcnRpbmdTY29yZSI6MC4wMjA4MTQ0NDUxMzc5Nzc2MDIsImFkU2NvcmUiOjAuMDE3NTIwNTc2NzE1NDY5MzYsImFkU2NvcmVzIjp7IjEiOjAuMDE3NTIwNTc2NzE1NDY5MzYsIjIiOjAuMDE3NTIwNTc2NzE1NDY5MzZ9LCJjcGMiOjEuMTg4MDAwMDAwMDAwMDAwMiwibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjExNTEzMDcyMTQ5MzEzNywiYWR2ZXJ0U2xvdCI6Niwib3JkZXIiOjIzLCJhdHRyaWJ1dGVzIjoiIn0=,"{'Materyal': 'Suni Deri', 'Topuk Boyu': 'Yüksek Topuklu (10 cm ve üzeri)', 'Topuk Tipi': 'Kalın Topuklu', 'Bağlama Şekli': 'Fermuarlı', 'Kullanım Alanı': 'Günlük', 'Renk': 'Kahverengi', 'Taban Materyali': 'Termoplastik', 'Saya Materyali': 'Suni Deri', 'İç Taban Materyali': 'Tekstil', 'Astar Materyali': 'Suni Deri'}"

camaiore,"499,90 TL",https://www.trendyol.com/camaiore/kadin-siyah-deri-yandan-lastikli-bot-p-756586083?boutiqueId=61&merchantId=547819,"{'Özellik': 'Gore-Tex', 'Materyal': 'Suni Deri', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Topuk Tipi': 'Düz Topuklu', 'Kumaş Teknolojisi': 'Suya Dayanıklı', 'Bağlama Şekli': 'Lastikli', 'Kullanım Alanı': 'Outdoor', 'Renk': 'Siyah', 'Desen': 'Düz', 'Dış Materyal': 'Suni Deri', 'Taban Teknolojisi': 'Air Zoom', 'Taban': 'Kauçuk', 'İzolasyon': 'Sentetik Dolgu', 'Sürdürülebilir': 'Geri Dönüştürülmüş Metaryal', 'Kalıp': 'Regular', 'Boy / Ölçü': 'Midi', 'Taban Materyali': 'Poli', 'Saya Materyali': 'Suni Deri', 'İç Taban Materyali': 'Suni Deri', 'Astar Materyali': 'Suni Deri', 'Persona': 'Fashion Forward', 'Sürdürülebilirlik Detayı': 'Evet', 'Ek Özellik': 'Ortopedik Taban', 'Deri Kalitesi': 'İmitasyon Deri', 'Koleksiyon': 'Lisanslı', 'Ortam': 'Casual/Günlük', 'Ürün Detayı': 'Suni Deri'}"

pasyone,379 TL,https://www.trendyol.com/pasyone/mavi-kadin-spor-ayakkabi-p-141994765?boutiqueId=61&merchantId=325246,"{'Bağlama Şekli': 'Bağcıklı', 'Materyal': 'Suni Deri', 'Dış Materyal': 'Suni Deri', 'Kullanım Alanı': 'Spor', 'Taban Tipi': 'Düz Taban', 'Renk': 'Mavi', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Ortam': 'Casual/Günlük', 'Desen': 'Çizgili'}"

Oysho,1.490 TL,https://www.trendyol.com/oysho/spor-ayakkabi-sneaker-p-639845126?boutiqueId=61&merchantId=140957,"{'Kullanım Alanı': 'Outdoor', 'Renk': 'Kahverengi', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Desen': 'Düz Renk'}"

Dark Seer,799 TL,https://www.trendyol.com/dark-seer/kadin-beyaz-pudra-sneaker-p-35839784?boutiqueId=61&merchantId=104936&advertItems=eyJhZHZlcnRJZCI6ImE3NzdkYTM2LWE5ZDktNDYxNi04Yjk0LTgwZTZhYTM2ZjU1NiIsInNvcnRpbmdTY29yZSI6MC4wMTgwMjI0MTY1OTE2NDQyOSwiYWRTY29yZSI6MC4wMjU2MDAwMjM1Njc2NzY1NDQsImFkU2NvcmVzIjp7IjEiOjAuMDI1NjAwMDIzNTY3Njc2NTQ0LCIyIjowLjAyNTYwMDAyMzU2NzY3NjU0NH0sImNwYyI6MC43MDQwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAuMDEsImVDcGMiOjAuNzA0MDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6Nywib3JkZXIiOjMsImF0dHJpYnV0ZXMiOiIifQ==,"{'Bağlama Şekli': 'Bağcıklı', 'Materyal': 'Poliüretan', 'Kullanım Alanı': 'Günlük', 'Renk': 'Beyaz', 'Topuk Boyu': 'Orta Topuklu (5-9 cm)', 'Persona': 'Cool & Comfort', 'Ek Özellik': 'Ortopedik Taban', 'Topuk Tipi': 'Düz Topuklu', 'Ortam': 'Casual/Günlük', 'Desen': 'Düz', 'Kumaş Tipi': 'Örme', 'Materyal Bileşeni': '%90 PU, %10 Suni Deri'}"

camaiore,"364,90 TL",https://www.trendyol.com/camaiore/kadin-siyah-deri-yandan-lastikli-bot-duz-ince-taban-woman-boots-p-755384181?boutiqueId=61&merchantId=547819,"{'Özellik': 'Gore-Tex', 'Materyal': 'Suni Deri', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Topuk Tipi': 'Düz Topuklu', 'Kumaş Teknolojisi': 'Suya Dayanıklı', 'Bağlama Şekli': 'Lastikli', 'Kullanım Alanı': 'Günlük', 'Renk': 'Siyah', 'Desen': 'Düz', 'Dış Materyal': 'Suni Deri', 'Taban': 'Tekstil', 'İzolasyon': 'Sentetik Dolgu', 'Spor Türü': 'Trekking', 'Sürdürülebilir': 'Geri Dönüştürülmüş Metaryal', 'Boy / Ölçü': 'Orta', 'Taban Materyali': 'Termoplastik', 'Saya Materyali': 'Suni Deri', 'İç Taban Materyali': 'Suni Deri', 'Astar Materyali': 'Suni Deri', 'Persona': 'Fashion Forward', 'Sürdürülebilirlik Detayı': 'Evet', 'Ek Özellik': 'Ortopedik Taban', 'Deri Kalitesi': 'İmitasyon Deri', 'Koleksiyon': 'Old Skool', 'Ortam': 'Casual/Günlük', 'Ürün Detayı': 'Suni Deri'}"

BIG KING,"699,90 TL",https://www.trendyol.com/big-king/siyah-su-gecirmez-outdoor-trekking-bot-p-367861959?boutiqueId=61&merchantId=333333,"{'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Topuk Tipi': 'Düz Topuklu', 'Kullanım Alanı': 'Outdoor', 'Renk': 'Siyah', 'Desen': 'Düz', 'Ek Özellik': 'Ek Özellik Mevcut Değil'}"

Moda Değirmeni,"280,50 TL",https://www.trendyol.com/moda-degirmeni/vizon-suet-kadin-bot-bg1011-116-0001-p-50712114?boutiqueId=61&merchantId=142292,"{'Materyal': 'Suni Deri', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Topuk Tipi': 'Kalın Topuklu', 'Bağlama Şekli': 'Bağcıklı', 'Kullanım Alanı': 'Günlük', 'Renk': 'Kahverengi', 'Desen': 'Düz', 'Taban Materyali': 'PVC', 'Saya Materyali': 'Suni Deri', 'İç Taban Materyali': 'Suni Deri', 'Ek Özellik': 'Ek Özellik Mevcut Değil', 'Ortam': 'Casual/Günlük', 'Materyal Bileşeni': '%100 Suni Deri'}"

